theme,target,coords,hebrew_name,hebrew_theme
garden,Rose,(0.11; 0.63),ורד,גן
garden,Butterfly,(-0.70; 0.19),פרפר,גן
garden,Pond,(-0.94; -0.43),בריכה,גן
garden,Gazebo,(0.73; -0.06),ביתן,גן
garden,Bush,(0.48; 1.32),שיח,גן
beach,Shell,(0.19; 0.85),צדף,חוף
beach,Seagull,(-0.42; 0.41),שחף,חוף
beach,Wave,(-0.73; -0.31),גל,חוף
beach,Sandcastle,(0.03; -0.61),טירת חול,חוף
beach,Crab,(-0.57; 1.29),סרטן,חוף
village,House,(0.68; 0.10),בית,כפר
village,Church,(-0.02; 0.81),כנסייה,כפר
village,Shop,(-0.92; -0.75),חנות,כפר
village,Street,(1.44; -0.16),רחוב,כפר
village,Lamp,(0.45; -0.64),פנס,כפר
ranch,Sheep,(0.20; 0.63),כבשה,חווה
ranch,Donkey,(-0.97; 0.18),חמור,חווה
ranch,Shed,(-0.71; -0.02),סככה,חווה
ranch,Gate,(0.85; -0.27),שער,חווה
ranch,Straw,(0.78; 0.52),קש,חווה
zoo,Lion,(0.53; 0.03),אריה,גן חיות
zoo,Elephant,(-0.50; 0.28),פיל,גן חיות
zoo,Gorilla,(-0.25; -0.61),גורילה,גן חיות
zoo,Giraffe,(0.18; -0.76),ג'ירף,גן חיות
zoo,Seal,(1.19; 0.23),כלב ים,גן חיות
school,Blackboard,(0.91; 0.95),לוח,בית ספר
school,Book,(-0.05; 0.64),ספר,בית ספר
school,Teacher,(-0.63; -0.18),מורה,בית ספר
school,Playground,(0.48; -0.65),מגרש משחקים,בית ספר
school,Cafeteria,(-0.95; 0.61),קפיטריה,בית ספר
hospital,Doctor,(0.51; 0.05),רופא,בית חולים
hospital,Bed,(-0.96; 0.30),מיטה,בית חולים
hospital,Medicine,(-1.05; -0.53),תרופה,בית חולים
hospital,Stethoscope,(0.68; -0.34),סטטוסקופ,בית חולים
hospital,Ambulance,(-1.28; 0.09),אמבולנס,בית חולים
bookstore,Bookshelf,(0.27; 0.95),מדף ספרים,חנות ספרים
bookstore,Clerk,(-0.93; 0.49),פקיד,חנות ספרים
bookstore,Computer,(-0.83; -0.56),מחשב,חנות ספרים
bookstore,Chair,(0.77; -0.28),כיסא,חנות ספרים
bookstore,Magazine,(0.70; 1.09),כתב עת,חנות ספרים
gym,Treadmill,(0.48; 0.58),הליכון,חדר כושר
gym,Weights,(-0.22; 0.70),משקולות,חדר כושר
gym,Trainer,(-0.56; -0.12),מאמן,חדר כושר
gym,Pool,(0.44; -0.51),בריכה,חדר כושר
gym,Basketball,(-0.95; -0.02),כדורסל,חדר כושר
museum,Painting,(0.59; 0.73),ציור,מוזיאון
museum,Sculpture,(-0.84; 0.51),פסל,מוזיאון
museum,Guide,(-0.25; -0.47),מדריך,מוזיאון
museum,Ticket,(0.89; -0.10),כרטיס,מוזיאון
museum,Gallery,(1.21; 0.46),גלריה,מוזיאון
airport,Plane,(0.19; 0.78),מטוס,שדה תעופה
airport,Pilot,(-0.66; 0.62),טייס,שדה תעופה
airport,Luggage,(-0.76; -0.10),מזוודה,שדה תעופה
airport,Gate,(0.46; -1.18),שער,שדה תעופה
airport,Runway,(0.19; -1.05),מסלול,שדה תעופה
market,Vendor,(0.54; 0.89),מוכר,שוק
market,Fruit,(-0.29; 0.57),פרי,שוק
market,Basket,(-0.16; -1.24),סל,שוק
market,Scale,(0.70; -0.15),משקל,שוק
market,Stall,(1.07; 0.11),דוכן,שוק
